Instance,Our min,Win min,Our ave,Win ave
n035w4_2_8-8-7-5,1335,1255,1370.5,1367.5
n035w4_0_1-7-1-8,1685,1630,1756.5,1630
n035w4_0_4-2-1-6,1970,1810,2021.5,1831.5
n035w4_0_5-9-5-6,1760,1755,1834.5,1755
n035w4_0_9-8-7-7,1660,1545,1723.5,1586
n035w4_1_0-6-9-2,1650,1525,1737,1545
n035w4_2_8-6-7-1,1600,1510,1644.5,1510
n035w4_2_9-2-2-6,1895,1705,1947.5,1708
n035w4_2_9-7-2-2,1940,1650,1970.5,1695
n035w4_2_9-9-2-1,1880,1620,1927.5,1652
n035w8_0_6-2-9-8-7-7-9-8,3505,99999,3628,99999
n035w8_1_0-8-1-6-1-7-2-0,3405,2900,3653.5,12669.4
n035w8_1_0-8-4-0-9-1-3-2,3190,2870,3378.5,80576.7
n035w8_1_1-4-4-9-3-5-3-2,3180,2810,3325,2849.5
n035w8_1_7-0-6-2-1-1-1-6,3440,2840,3548.5,2842
n035w8_2_2-1-7-1-8-7-4-2,3445,3050,3672,90304.1
n035w8_2_7-1-4-9-2-2-6-7,3540,2960,3632.5,3028.5
n035w8_2_8-8-7-5-0-0-6-9,3385,2815,3603,2863
n035w8_2_9-5-6-3-9-9-2-1,3350,3045,3533.5,3083.5
n035w8_2_9-7-2-2-5-7-4-3,3295,2865,3488,2928
n070w4_0_3-6-5-1,3090,2705,3151,2723
n070w4_0_4-9-6-7,2790,2430,2889,2446
n070w4_0_4-9-7-6,2865,2475,2948,2557.5
n070w4_0_8-6-0-8,2855,2435,3016,2477
n070w4_0_9-1-7-5,2725,2320,2864,2323
n070w4_1_1-3-8-8,3035,2700,3134.5,2728
n070w4_2_0-5-6-8,2880,2520,3012,2533
n070w4_2_3-5-8-2,3050,2615,3141.5,2635
n070w4_2_5-8-2-5,2875,2540,3005.5,2544.5
n070w4_2_9-5-6-5,2975,2615,3046,2652
n070w8_0_3-3-9-2-3-7-5-2,6000,5115,6222,5164
n070w8_0_9-3-0-7-2-1-1-0,6420,5390,6602,5478.5
n070w8_1_5-6-8-5-7-8-5-6,6095,5475,6236.5,5549
n070w8_1_9-8-9-9-2-8-1-4,5700,5100,6018.5,5167
n070w8_2_4-9-2-0-2-7-0-6,5990,5410,6259,5581.5
n070w8_2_5-1-3-0-8-0-5-8,5975,5280,6315,5359.5
n070w8_2_5-7-4-8-7-2-9-9,6210,5505,6317.5,5531.5
n070w8_2_6-3-0-1-8-1-5-9,5960,5120,6255,5240
n070w8_2_8-6-0-1-6-4-7-8,6205,5350,6492.5,7138.5
n070w8_2_9-3-5-2-2-9-2-0,5895,5320,6044.5,5374
n110w4_0_1-4-2-8,3395,2720,3539,2725
n110w4_0_1-9-3-5,3475,2970,3663,3065
n110w4_1_0-1-6-4,3685,2920,3769,12690.4
n110w4_1_0-5-8-8,3440,2895,3569.5,3210
n110w4_1_2-9-2-0,3995,3380,4092,3425
n110w4_1_4-8-7-2,3515,2805,3661,2855.5
n110w4_2_0-2-7-0,3795,3175,3903.5,51625.5
n110w4_2_5-1-3-0,3520,3025,3637.5,3095
n110w4_2_8-9-9-2,3895,3470,4025,3502.5
n110w4_2_9-8-4-9,3640,3335,3769,3540
n110w8_0_2-1-1-7-2-6-4-7,6420,5165,6596,5243
n110w8_0_3-2-4-9-4-1-3-7,6015,4830,6172.5,4982.5
n110w8_0_5-5-2-2-5-3-4-7,6065,4870,6227,4939
n110w8_0_7-8-7-5-9-7-8-1,6105,5005,6251.5,5234
n110w8_0_8-8-0-2-3-4-6-3,5920,4955,6146.5,5021.5
n110w8_0_8-8-2-2-3-2-0-8,6310,5435,6469,5510.5
n110w8_1_0-6-1-0-3-2-9-1,6330,5175,6514,5259.5
n110w8_1_4-1-3-6-8-8-1-3,5925,4785,6115.5,4842.5
n110w8_2_2-9-5-5-1-8-4-0,5840,5200,6222.5,5274
n110w8_2_8-5-7-3-9-8-8-5,5540,4765,5809,5292
