I,EA,EAON,I,EA,EAON
2300,1610,1540,2505.31,1705.47,1642.81
4700,3485,3410,5059.84,3695.47,3574.22
8305,6390,6155,8725.31,6801.72,6502.03
4930,3655,3630,5532.03,3837.5,3789.06
5175,3685,3695,5693.59,3915.31,3931.88
8810,5725,5565,9380,6047.34,5776.56
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RW,PR,AW,RW,PR,AW
1675,1705,1685,1788.91 ,1778.28 ,1747.19 
1675,1650,1655,1791.56 ,1774.38 ,1747.03 
1520,1575,1555,1628.28 ,1656.25 ,1635.47 
3410,3315,3420,3665.00 ,3597.03 ,3578.28 
3400,3350,3370,3602.03 ,3616.88 ,3601.88 
3495,3420,3460,3769.84 ,3703.13 ,3682.50 
3115,3025,3010,3243.44 ,3170.78 ,3154.38 
3050,3040,3020,3118.75 ,3136.25 ,3128.44 
2895,2815,2890,3034.69 ,3021.41 ,3015.78 
6140,6035,5945,6415.94 ,6289.53 ,6230.16 
6105,5910,5940,6325.63 ,6219.22 ,6214.22 
6050,5865,5880,6373.44 ,6280.63 ,6210.94 
3340,3400,3355,3516.72 ,3565.94 ,3527.81 
3630,3615,3670,3765.31 ,3768.44 ,3794.38 
3745,3720,3760,3893.13 ,3907.66 ,3925.00 
6255,6300,6235,6595.16 ,6578.59 ,6532.97 
6310,6280,6270,6608.13 ,6512.66 ,6469.69 
5855,6115,6045,6257.34 ,6316.25 ,6300.94 
